date,Battery (Charging) -  MW,Pumps -  MW,Coal (Brown) -  MW,Coal (Black) -  MW,Bioenergy (Biogas) -  MW,Bioenergy (Biomass) -  MW,Distillate -  MW,Gas (Steam) -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Gas (Reciprocating) -  MW,Gas (Waste Coal Mine) -  MW,Battery (Discharging) -  MW,Hydro -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2023-09-12 13:30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9355.67,0.00,0.00
2023-09-12 14:00,-35.48,-571.00,1766.50,4274.33,19.32,7.72,0.00,28.50,187.97,20.51,0.00,42.98,30.55,418.23,1003.00,3166.67,8961.67,0.00,0.00
2023-09-12 14:30,-83.02,-547.98,2607.67,6725.33,29.32,11.63,0.00,40.50,314.98,30.18,0.00,67.02,18.53,691.77,1628.33,4768.33,8017.50,0.00,2.98
2023-09-12 15:00,-40.59,-286.58,2616.00,6786.17,28.53,12.80,0.00,40.83,380.00,26.56,0.00,67.32,38.64,695.83,1687.00,4952.00,7132.92,0.00,-12.37
2023-09-12 15:30,-30.13,-285.18,2770.17,7248.67,27.93,12.53,0.00,40.83,536.30,0.47,0.00,67.13,39.68,779.30,1628.83,5024.00,6175.08,0.00,-13.57
2023-09-12 16:00,-89.23,-252.94,2927.50,8158.17,28.68,12.67,0.00,43.33,726.27,0.48,0.00,67.19,61.20,823.45,1891.83,4710.00,4917.17,0.00,-27.75
2023-09-12 16:30,-59.75,-43.75,3287.67,9085.17,29.00,12.87,0.00,65.67,857.68,0.47,0.00,67.65,41.49,1089.32,1932.50,4159.67,3540.08,0.00,21.82
2023-09-12 17:00,-72.42,-14.56,3847.17,10602.83,28.72,12.77,0.00,63.00,914.17,100.75,0.00,67.23,39.51,1939.33,1699.00,2917.50,2159.21,0.00,69.05
2023-09-12 17:30,-7.61,0.00,4116.67,11570.33,28.88,12.50,0.00,59.83,1065.33,524.90,7.71,67.19,114.42,3275.00,1564.83,1213.60,1020.89,0.00,95.68
2023-09-12 18:00,-10.60,0.00,4262.83,12084.83,29.04,12.68,-0.02,59.83,1188.67,1342.95,47.62,68.01,178.17,3972.83,1594.67,193.17,318.71,0.00,129.30
