Region,Date,20-Sep-23,21-Sep-23,22-Sep-23,23-Sep-23,24-Sep-23,25-Sep-23,26-Sep-23
"NSW1","Net Interchange",-1928,-1882,-2100,-2023,-2139,-1969,-1955
"NSW1","Scheduled Capacity",10168,10373,10252,10214,10029,10093,10116
"NSW1","Scheduled Demand",9859,8918,8918,8548,8559,8846,8814
"NSW1","Scheduled Reserve",2237,3337,3435,3689,3610,3215,3257
"NSW1","Trading Interval",18:30,19:00,19:00,19:00,19:00,19:00,19:00
"QLD1","Net Interchange",-183,-222,-231,-232,-210,-156,-164
"QLD1","Scheduled Capacity",9151,9682,9495,9405,9831,9534,9553
"QLD1","Scheduled Demand",7202,7595,7049,6676,6799,7136,7112
"QLD1","Scheduled Reserve",2131,2309,2677,2960,3241,2554,2605
"QLD1","Trading Interval",19:00,18:30,19:00,19:00,19:00,19:00,19:00
"SA1","Net Interchange",-547,-600,-600,-600,-600,-600,-600
"SA1","Scheduled Capacity",2757,2883,2612,2313,2302,2727,2681
"SA1","Scheduled Demand",1778,1768,1636,1485,1569,1722,1696
"SA1","Scheduled Reserve",1526,1715,1576,1428,1333,1605,1585
"SA1","Trading Interval",19:30,20:00,20:00,19:30,19:30,19:30,19:30
"TAS1","Net Interchange",-462,-462,-462,-462,-462,-462,-462
"TAS1","Scheduled Capacity",2259,2144,2094,2240,2030,2042,1725
"TAS1","Scheduled Demand",1281,1366,1378,1258,1271,1249,1263
"TAS1","Scheduled Reserve",1440,1240,1178,1444,1221,1255,924
"TAS1","Trading Interval",19:00,19:00,08:00,19:00,19:00,19:30,07:30
"VIC1","Net Interchange",-1779,-2307,-2439,-1930,-2715,-2215,-2581
"VIC1","Scheduled Capacity",8800,6721,6690,6943,6568,6722,7395
"VIC1","Scheduled Demand",5927,6265,6121,5456,5251,5659,5644
"VIC1","Scheduled Reserve",4652,2762,3008,3417,4032,3278,4332
"VIC1","Trading Interval",19:00,19:00,19:00,19:30,19:00,19:00,19:00
