C,NEMP.WORLD,DISPATCHSCADA,AEMO,PUBLIC,2022/10/20,00:00:09,0000000373215173,DISPATCHSCADA,0000000373215167
I,DISPATCH,UNIT_SCADA,1,SETTLEMENTDATE,DUID,SCADAVALUE
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BARCSF1,0.10
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BUTLERSG,8.699999
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",CAPTL_WF,43.184250
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",CHALLHWF,17.700001
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",CLOVER,13.469999
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",CLUNY,6.205081
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",CULLRGWF,-0.05
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",DIAPURWF1,7.30
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",ERGT01,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",GB01,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",GERMCRK,14.80
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",GRIFSF1,0.001526
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",HEZ1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",HUGSF1,-0.1740
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",KEPBG1,0.01
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",LRSF1,0.0240
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MBAHNTH,50.212509
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MLSP1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",MLWF1,2.73
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",PALOONA,30.209999
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",PIONEER,41.900002
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",PORTWF,29.700001
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",REPULSE,9.582055
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",ROWALLAN,8.9318
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",ROYALLA1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",RPCG,-1.20
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",RUBICON,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",WAUBRAWF,151.610992
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",WOOLNTH1,29.18
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",YAMBUKWF,2.70
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",YSWF1,4.10
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",ADPBA1G,0.0080
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",ADPBA1L,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",ADPPV1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",AGLHAL,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",AGLSOM,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",ANGAST1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",ARWF1,104
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BALBG1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BALBL1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BALDHWF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BANGOWF1,62.098110
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BANGOWF2,49.399480
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BANN1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BARCALDN,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BARKIPS1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BARRON-1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BARRON-2,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BASTYAN,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BBTHREE1,-1.12
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BBTHREE2,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BBTHREE3,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BDL01,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BDL02,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BERYLSF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BLOWERNG,62.60
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BLUEGSF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BLUFF1,22.20
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BNGSF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BNGSF2,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BOCORWF1,14.07
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BODWF1,37.7033
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BOMENSF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BOWWBA1G,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BOWWBA1L,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BOWWPV1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BRAEMAR1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BRAEMAR2,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BRAEMAR3,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BRAEMAR5,0.292060
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BRAEMAR6,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BRAEMAR7,157.137820
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BROKENH1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BRYB1WF1,77.0367
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BULBESG1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BULBESL1,0.03
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BULGANA1,69.45
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BW01,464.814210
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BW02,455.4635
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BW03,455.072880
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",BW04,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",CALL_B_1,318.899990
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",CALL_B_2,319.50
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",CATHROCK,7.20
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",CBWWBA1G,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",CBWWBA1L,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",CETHANA,98.004880
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",CG1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",CG2,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",CG3,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",CG4,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",CHILDSF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",CHYTWF1,19.24
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",CLARESF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",CLEMGPWF,46.3185
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",CLERMSF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",CNUNDAWF,20.123470
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",COHUNSF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",COLEASF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",COLUMSF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",COLWF01,112.463580
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",COOPGWF1,342.329990
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",CPP_3,361.6250
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",CPP_4,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",CPSA,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",CROOKWF2,26.863810
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",CROWLWF1,51.933190
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",CRURWF1,45.496830
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",CRWASF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",CSPVPS1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",CTHLWF1,0.003050
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",DALNTH01,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",DALNTHL1,0.083920
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",DARLSF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",DARTM1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",DAYDSF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",DDPS1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",DDSF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",DEVILS_G,53.758960
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",DG_NSW1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",DG_QLD1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",DG_SA1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",DG_TAS1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",DG_VIC1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",DRYCGT1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",DRYCGT2,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",DRYCGT3,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",DUNDWF1,50.61
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",DUNDWF2,16.28
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",DUNDWF3,37.53
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",EILDON1,60.04
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",EILDON2,60.04
