C,NEMP.WORLD,LFCST_HISTDEMAND,AEMO,PUBLIC,2023/07/22,02:00:01,0000000392649909,,0000000392649908
I,DEMAND,HISTORIC,1,REGIONID,SETTLEMENTDATE,PERIODID,DEMAND
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",1,8683
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",2,8511
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",3,8264
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",4,8004
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",5,7731
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",6,7486
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",7,7305
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",8,7231
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",9,7252
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",10,7337
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",11,7734
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",12,8096
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",13,8862
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",14,9602
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",15,10273
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",16,10676
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",17,10667
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",18,10209
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",19,9973
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",20,9670
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",21,9330
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",22,8701
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",23,8271
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",24,7943
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",25,7645
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",26,7594
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",27,7649
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",28,7592
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",29,7600
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",30,7698
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",31,7959
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",32,8435
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",33,8930
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",34,9513
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",35,10125
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",36,10759
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",37,10831
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",38,10808
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",39,10664
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",40,10500
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",41,10374
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",42,10173
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",43,9970
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",44,9729
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",45,9595
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",46,9351
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",47,9119
D,DEMAND,HISTORIC,1,NSW1,"2023/07/21 00:00:00",48,8991
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",1,5896
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",2,5691
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",3,5561
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",4,5545
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",5,5467
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",6,5447
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",7,5422
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",8,5402
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",9,5559
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",10,5710
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",11,5961
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",12,6211
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",13,6694
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",14,7112
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",15,7205
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",16,6995
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",17,6529
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",18,5968
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",19,5515
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",20,5063
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",21,4735
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",22,4612
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",23,4520
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",24,4430
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",25,4379
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",26,4479
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",27,4583
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",28,4754
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",29,4988
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",30,5411
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",31,5821
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",32,6169
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",33,6455
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",34,6830
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",35,7099
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",36,7263
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",37,7315
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",38,7309
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",39,7198
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",40,7158
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",41,7059
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",42,6972
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",43,6886
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",44,6623
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",45,6473
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",46,6319
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",47,6172
D,DEMAND,HISTORIC,1,QLD1,"2023/07/21 00:00:00",48,6020
D,DEMAND,HISTORIC,1,SA1,"2023/07/21 00:00:00",1,1682
D,DEMAND,HISTORIC,1,SA1,"2023/07/21 00:00:00",2,1665
D,DEMAND,HISTORIC,1,SA1,"2023/07/21 00:00:00",3,1614
D,DEMAND,HISTORIC,1,SA1,"2023/07/21 00:00:00",4,1569
D,DEMAND,HISTORIC,1,SA1,"2023/07/21 00:00:00",5,1525
D,DEMAND,HISTORIC,1,SA1,"2023/07/21 00:00:00",6,1472
D,DEMAND,HISTORIC,1,SA1,"2023/07/21 00:00:00",7,1425
D,DEMAND,HISTORIC,1,SA1,"2023/07/21 00:00:00",8,1400
D,DEMAND,HISTORIC,1,SA1,"2023/07/21 00:00:00",9,1391
D,DEMAND,HISTORIC,1,SA1,"2023/07/21 00:00:00",10,1383
D,DEMAND,HISTORIC,1,SA1,"2023/07/21 00:00:00",11,1392
