SETTLEMENTDATE,REGIONID,AVGRRP,PEAKRRP
2023/09/01 00:00:00,TAS1,58.85000000,56.14000000
2023/09/01 00:00:00,SA1,117.66000000,107.87000000
2023/09/01 00:00:00,VIC1,96.12000000,99.03000000
2023/09/01 00:00:00,NSW1,99.65000000,100.16000000
2023/09/01 00:00:00,QLD1,60.30000000,45.25000000
2023/09/02 00:00:00,VIC1,70.47000000,N/A
2023/09/02 00:00:00,NSW1,81.20000000,N/A
2023/09/02 00:00:00,TAS1,55.42000000,N/A
2023/09/02 00:00:00,QLD1,52.12000000,N/A
2023/09/02 00:00:00,SA1,77.37000000,N/A
2023/09/03 00:00:00,SA1,-47.89000000,N/A
2023/09/03 00:00:00,VIC1,-53.67000000,N/A
2023/09/03 00:00:00,NSW1,46.82000000,N/A
2023/09/03 00:00:00,QLD1,38.50000000,N/A
2023/09/03 00:00:00,TAS1,16.26000000,N/A
2023/09/04 00:00:00,VIC1,19.54000000,29.41000000
2023/09/04 00:00:00,NSW1,203.00000000,278.71000000
2023/09/04 00:00:00,TAS1,20.35000000,23.50000000
2023/09/04 00:00:00,QLD1,182.95000000,249.22000000
2023/09/04 00:00:00,SA1,39.66000000,41.45000000
2023/09/05 00:00:00,TAS1,29.97000000,28.08000000
2023/09/05 00:00:00,VIC1,35.29000000,32.16000000
2023/09/05 00:00:00,QLD1,44.95000000,31.85000000
2023/09/05 00:00:00,SA1,47.64000000,49.51000000
2023/09/05 00:00:00,NSW1,48.99000000,36.73000000
2023/09/06 00:00:00,QLD1,123.57000000,143.94000000
2023/09/06 00:00:00,VIC1,-11.54000000,-31.79000000
2023/09/06 00:00:00,SA1,-2.45000000,-35.87000000
2023/09/06 00:00:00,TAS1,14.03000000,18.06000000
2023/09/06 00:00:00,NSW1,72.06000000,61.59000000
2023/09/07 00:00:00,VIC1,-12.46000000,-16.44000000
2023/09/07 00:00:00,TAS1,5.79000000,10.42000000
2023/09/07 00:00:00,NSW1,53.70000000,39.96000000
2023/09/07 00:00:00,QLD1,52.80000000,39.70000000
2023/09/07 00:00:00,SA1,-29.09000000,-42.14000000
2023/09/08 00:00:00,SA1,43.07000000,14.74000000
2023/09/08 00:00:00,NSW1,56.72000000,57.76000000
2023/09/08 00:00:00,VIC1,32.44000000,43.12000000
2023/09/08 00:00:00,TAS1,15.69000000,16.57000000
2023/09/08 00:00:00,QLD1,57.83000000,57.33000000
2023/09/09 00:00:00,SA1,60.95000000,N/A
2023/09/09 00:00:00,TAS1,27.43000000,N/A
2023/09/09 00:00:00,NSW1,42.67000000,N/A
2023/09/09 00:00:00,QLD1,36.40000000,N/A
2023/09/09 00:00:00,VIC1,25.30000000,N/A
2023/09/10 00:00:00,NSW1,65.51000000,N/A
2023/09/10 00:00:00,QLD1,48.49000000,N/A
2023/09/10 00:00:00,TAS1,33.42000000,N/A
2023/09/10 00:00:00,VIC1,47.04000000,N/A
2023/09/10 00:00:00,SA1,55.41000000,N/A
2023/09/11 00:00:00,TAS1,56.78000000,50.49000000
2023/09/11 00:00:00,NSW1,97.26000000,96.83000000
2023/09/11 00:00:00,QLD1,76.23000000,69.95000000
2023/09/11 00:00:00,SA1,94.87000000,91.15000000
2023/09/11 00:00:00,VIC1,85.67000000,84.63000000
2023/09/12 00:00:00,QLD1,65.32000000,42.50000000
2023/09/12 00:00:00,SA1,72.20000000,36.37000000
2023/09/12 00:00:00,TAS1,45.24000000,31.61000000
2023/09/12 00:00:00,VIC1,44.48000000,16.18000000
2023/09/12 00:00:00,NSW1,95.66000000,83.48000000
2023/09/13 00:00:00,NSW1,81.15000000,64.43000000
2023/09/13 00:00:00,VIC1,59.63000000,40.69000000
2023/09/13 00:00:00,SA1,80.97000000,46.19000000
2023/09/13 00:00:00,QLD1,65.82000000,44.53000000
2023/09/13 00:00:00,TAS1,51.34000000,34.30000000
2023/09/14 00:00:00,TAS1,26.96000000,35.13000000
2023/09/14 00:00:00,QLD1,39.58000000,22.54000000
2023/09/14 00:00:00,SA1,-20.57000000,-30.35000000
2023/09/14 00:00:00,VIC1,-7.29000000,-19.28000000
2023/09/14 00:00:00,NSW1,61.27000000,53.82000000
2023/09/15 00:00:00,VIC1,17.15000000,4.28000000
2023/09/15 00:00:00,TAS1,8.88000000,2.26000000
2023/09/15 00:00:00,NSW1,41.43000000,26.68000000
2023/09/15 00:00:00,SA1,53.36000000,40.12000000
2023/09/15 00:00:00,QLD1,29.38000000,10.40000000
2023/09/16 00:00:00,NSW1,29.08000000,N/A
2023/09/16 00:00:00,TAS1,-1.63000000,N/A
2023/09/16 00:00:00,VIC1,-18.48000000,N/A
2023/09/16 00:00:00,QLD1,24.63000000,N/A
2023/09/16 00:00:00,SA1,13.53000000,N/A
2023/09/17 00:00:00,TAS1,11.82000000,N/A
2023/09/17 00:00:00,QLD1,34.32000000,N/A
2023/09/17 00:00:00,SA1,5.30000000,N/A
2023/09/17 00:00:00,NSW1,35.93000000,N/A
2023/09/17 00:00:00,VIC1,5.80000000,N/A
2023/09/18 00:00:00,TAS1,29.53000000,35.72000000
2023/09/18 00:00:00,QLD1,54.49000000,44.35000000
2023/09/18 00:00:00,VIC1,59.50000000,76.25000000
2023/09/18 00:00:00,NSW1,79.04000000,82.38000000
2023/09/18 00:00:00,SA1,57.78000000,71.14000000
